X,Y,Original Slide label,Static Predicted Probability,Static predicted zone,LITHOLOGY,LULC11_12,LULC15_16,PANCHAYATH_CODE,PANCHAYATH_NAME,HAND,TPI,ASPEC,DRAIN_DEN,NDBI,NDVI,SPI,TRI,TWI,ELEVATION,PLANCU,PROFCU,RRELIEF,GW_IDW,LINEAMENT_DEN,ROAD_DEN,SLOPE,D_RAINFALL,SOIL_T,SOIL_DEPTH,SOIL_TEXTURE,VILLAGE_BLK
76.88069916,9.767410278,1,0.80111086,very high,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,3,8,6,2,4,3,2,4,1,3,7,4,4,1,6,3,6,4,1,Very deep,Clay,85
77.12830353,9.768429756,0,0.14330047,very low,Pink Granite Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,3,5,4,1,4,3,4,5,2,10,3,5,3,1,1,2,3,5,1,Very deep,Clay,1
76.86119843,9.769490242,1,0.92839926,very high,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Open,Evergreen / Semi Evergreen Forest - Open,1,Marayoor,4,7,3,2,3,4,2,4,1,7,7,4,2,1,3,1,3,5,2,Very deep,Clay,1
76.83519745,9.770460129,0,0.093939014,very low,Pink Granite Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,1,7,6,1,4,2,3,3,2,8,6,4,3,1,1,2,4,4,1,Very deep,Clay,85
77.13349915,9.770979881,1,0.4688262,low,Pink Granite Gneiss,Scrub Forest,Grassland - Temperate / Sub Tropical,1,Marayoor,1,3,9,1,2,4,4,4,3,10,4,7,3,1,1,2,1,5,2,Very deep,Clay,1
76.82749939,9.772709846,0,0.04436918,very low,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,1,6,8,1,4,3,3,3,2,2,5,5,2,1,2,3,2,4,2,Very deep,Clay,85
77.08360291,9.775859833,1,0.88978034,very high,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,4,5,5,2,4,3,4,4,2,2,7,5,3,1,6,1,6,4,2,Very deep,Clay,85
76.85649872,9.777420044,1,0.97369856,very high,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,1,6,5,2,4,3,3,5,2,8,6,5,3,1,2,1,2,5,2,Very deep,Clay,1
76.84989929,9.779720306,0,0.054958414,very low,Hornblende Gneiss,Barren Rocky,Barren Rocky,1,Marayoor,3,8,8,1,4,1,3,4,1,5,6,4,3,1,3,3,5,4,1,Very deep,Clay,85
77.2111969,9.788430214,1,0.9273149,very high,Pink Granite Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,2,7,4,2,4,3,3,4,2,9,4,4,3,1,1,2,4,4,1,Very deep,Clay,1
77.08529663,9.78993988,1,0.9591235,very high,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Open,Evergreen / Semi Evergreen Forest - Open,1,Marayoor,3,6,5,2,3,4,2,5,2,7,5,5,3,1,3,1,2,5,2,Very deep,Clay,1
77.06500244,9.793410301,0,0.35142606,low,Pink Granite Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,2,6,5,1,5,2,3,3,2,10,6,5,3,1,1,2,2,5,2,Very deep,Clay,1
77.06079865,9.794400215,1,0.98170966,very high,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,1,7,8,2,3,3,1,4,1,3,7,4,3,1,6,1,4,4,2,Very deep,Clay,85
77.08139801,9.794839859,1,0.9077498,very high,Pink Granite Gneiss,Scrub Forest,Grassland - Temperate / Sub Tropical,1,Marayoor,4,5,6,2,2,3,4,4,2,9,5,5,3,1,1,3,5,5,2,Very deep,Clay,1
76.82089996,9.796879768,0,0.06596823,very low,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,2,6,3,1,4,3,3,3,2,2,5,5,2,1,2,2,3,4,2,Very deep,Clay,85
